id,med_income
1500000US120570132082,95580
1500000US120310168031,95575
1500000US120990078221,95515
1500000US121090214051,95486
1500000US120860116003,95474
1500000US121010320112,95469
1500000US120570132064,95439
1500000US120860076012,95417
1500000US120970432021,95313
1500000US120110406011,95294
1500000US120860185003,95288
1500000US121090214032,95268
1500000US120310143301,95238
1500000US120090713011,95188
1500000US120990002053,95179
1500000US120860189002,95167
1500000US120990078371,95135
1500000US120570115144,95132
1500000US120990077242,95104
1500000US120810020132,95098
1500000US120570141172,95096
1500000US120570141171,95000
1500000US120730026051,95000
1500000US121030268131,95000
1500000US120570061012,94875
1500000US120110605041,94861
1500000US121050118221,94853
1500000US120990066022,94847
1500000US120210108032,94821
1500000US120210102084,94800
1500000US120910233082,94750
1500000US121090207113,94750
1500000US120210102152,94643
1500000US120310139051,94561
1500000US120850006063,94493
1500000US121090209023,94446
1500000US120860106041,94432
1500000US120860090343,94423
1500000US120570132063,94375
1500000US120990077571,94345
1500000US120110203023,94250
1500000US120090631073,94205
1500000US120570069006,94196
1500000US120210109051,94167
1500000US120110203091,94083
1500000US120710801001,94000
1500000US120990074181,94000
1500000US120950160011,93977
1500000US120950171091,93824
1500000US120860112014,93821
1500000US121170208031,93808
1500000US120990007032,93750
1500000US120860089014,93711
1500000US120910210011,93711
1500000US120860084051,93672
1500000US120860110082,93634
1500000US121270832072,93603
1500000US120860097041,93583
1500000US121030240051,93571
1500000US120860186001,93438
1500000US120990078053,93438
1500000US120570053013,93409
1500000US120111103031,93355
1500000US120110420001,93333
1500000US121270832083,93333
1500000US120990077522,93304
1500000US120860201003,93237
1500000US120830023011,93233
1500000US120990066021,93214
1500000US120860103006,93188
1500000US120990036002,93140
1500000US120710503111,93092
1500000US120310022001,93051
1500000US121170216121,93042
1500000US120950148091,93021
1500000US120330010012,92951
1500000US120710802043,92898
1500000US120570139181,92895
1500000US120730017004,92880
1500000US120860067111,92864
1500000US120850006102,92850
1500000US120110406021,92826
1500000US121130108142,92784
1500000US120110405043,92768
1500000US120860107033,92768
1500000US120090691002,92688
1500000US120990079103,92650
1500000US120210003013,92500
1500000US120990066023,92500
1500000US120860106102,92344
1500000US120111103262,92273
1500000US120860068012,92269
